Row Labels,Under $50K,$50K to $100K,$100K to $150K,$150K to $200K,$200K to $250K,$250K to $300K,$300K to $350K,$350K to $400K,$400K to $450K,$450K to $500K,Over $500K,Total
42003429700,0,3,3,9,8,5,4,2,0,0,0,34
42003430100,3,5,10,9,9,0,0,0,0,0,0,36
42003430200,1,1,8,12,10,4,2,2,1,0,0,41
42003431100,2,5,3,4,7,5,2,0,0,0,0,28
42003431400,1,3,5,8,3,3,0,2,0,0,0,25
42003431500,1,3,2,5,4,2,0,0,0,0,0,17
42003432300,2,2,6,5,3,0,0,0,0,0,0,18
42003432400,0,5,5,7,1,1,0,0,0,0,0,19
42003434000,0,2,2,3,6,1,1,2,1,2,2,22
42003435000,1,0,5,10,1,3,0,0,0,0,0,20
42003437000,0,0,0,0,9,1,11,9,9,9,25,73
42003439000,2,0,0,0,1,1,1,1,0,0,3,9
42003445500,0,2,1,2,5,2,6,2,2,1,10,33
42003446000,0,0,0,1,0,0,1,0,2,1,13,18
42003447000,0,1,2,1,2,0,2,0,0,0,2,10
42003448000,2,2,5,1,1,0,1,0,0,0,0,12
42003449000,3,9,8,4,5,2,3,1,0,0,0,35
42003450700,6,3,11,9,2,1,0,0,0,0,0,32
42003450800,6,14,10,11,3,1,0,0,0,0,0,45
42003451101,0,1,2,1,4,5,4,5,1,4,8,35
42003451102,2,0,2,1,5,8,7,0,0,1,0,26
42003451104,0,0,0,2,4,3,5,4,4,5,0,27
42003451105,1,2,5,3,10,9,2,1,1,5,10,49
42003451300,5,1,5,7,18,7,7,9,5,1,17,82
42003452000,4,2,2,10,6,11,8,12,4,1,5,65
42003453003,0,1,1,5,2,3,0,2,0,0,0,14
42003453004,0,0,4,31,19,4,6,4,4,1,0,73
42003455000,1,1,1,4,3,2,0,0,0,1,0,13
42003456001,5,4,4,4,1,1,11,17,7,4,5,63
42003456003,0,1,8,16,11,19,20,12,15,10,20,132
42003456004,0,2,2,22,4,9,2,4,6,2,3,56
42003457100,1,2,3,6,2,0,0,0,0,0,0,14
42003457200,2,6,13,12,11,1,2,1,0,0,0,48
42003458000,0,7,6,10,4,4,25,5,8,7,27,103
42003459101,0,1,3,3,0,2,0,1,1,2,0,13
42003459102,1,0,5,9,11,20,2,4,3,1,9,65
42003459201,2,1,4,6,8,11,1,4,5,4,4,50
42003460001,0,1,6,4,11,13,3,1,5,0,0,44
42003460002,1,3,0,3,8,6,4,1,1,0,0,27
42003461000,0,2,8,5,1,0,0,0,0,0,0,16
42003462100,11,4,9,8,0,0,0,0,0,0,0,32
42003462600,23,21,8,4,0,0,0,0,0,0,0,56
42003463900,19,9,6,0,0,0,0,0,0,0,0,34
42003464300,1,7,6,10,4,0,0,0,0,0,0,28
42003464400,22,7,2,1,0,0,0,0,0,0,0,32
42003465600,3,4,4,7,2,2,1,0,0,0,0,23
42003465800,0,6,13,14,10,5,2,0,0,0,0,50
42003468700,1,2,5,2,1,1,0,1,0,0,0,13
42003468800,1,1,10,8,23,6,0,0,0,0,0,49
42003468900,3,7,9,6,10,3,1,0,0,0,0,39
42003469000,2,1,3,14,17,16,5,1,0,1,0,60
42003470300,0,3,3,13,12,10,2,1,0,0,1,45
42003470400,1,0,1,12,16,11,2,0,0,0,0,43
42003470501,0,1,3,1,5,4,1,0,0,0,0,15
42003470502,0,0,4,5,6,4,4,0,0,0,0,23
42003470600,3,8,6,7,3,0,1,0,0,0,0,28
42003471000,1,3,8,3,4,2,0,0,0,0,0,21
42003472100,1,2,5,8,8,2,2,1,0,0,0,29
42003472200,0,0,4,6,4,5,2,0,0,0,0,21
42003472300,0,2,8,3,7,2,1,0,0,0,0,23
42003472400,0,1,1,3,8,8,4,0,0,0,0,25
42003473100,0,2,0,3,5,8,10,5,10,2,3,48
42003473200,0,0,2,2,3,4,9,4,1,0,0,25
42003473300,1,0,0,3,18,16,12,9,1,0,2,62
42003473401,0,0,1,1,2,5,1,1,3,3,4,21
42003473402,0,0,0,2,5,3,5,5,2,2,2,26
42003473500,0,1,0,2,3,2,6,5,2,2,11,34
42003473601,0,1,2,0,4,7,4,3,2,2,12,37
42003473602,0,0,0,4,6,7,10,9,7,2,5,50
42003474101,0,0,0,3,3,4,4,6,2,3,13,38
42003474102,0,0,0,1,4,2,4,4,5,6,13,39
42003474201,0,1,0,0,0,4,9,0,4,5,7,30
42003474202,0,0,0,3,4,8,8,13,7,5,26,74
42003474203,0,0,1,2,7,8,12,20,9,4,15,78
42003475101,0,2,3,9,17,7,1,1,0,0,0,40
42003475102,0,0,3,3,4,3,6,1,0,0,0,20
42003475200,1,0,3,11,17,11,5,2,1,0,1,52
42003475301,1,3,9,12,11,7,1,0,0,0,0,44
42003475303,0,1,3,13,8,10,10,7,0,0,1,53
42003475304,0,0,0,3,7,4,12,4,3,2,0,35
42003475401,1,0,4,3,8,6,3,1,3,0,4,33
42003475402,0,0,1,5,6,4,2,4,1,1,5,29
42003476100,1,2,9,21,4,1,0,0,0,0,0,38
42003476200,2,4,10,21,4,3,0,0,0,0,0,44
42003477100,0,3,3,31,17,9,4,2,0,0,0,69
42003477200,1,4,14,10,18,14,2,3,1,0,0,67
42003477300,1,2,9,19,23,9,1,1,1,0,2,68
42003478100,3,14,18,17,9,1,0,1,0,0,0,63
42003478200,5,25,33,31,7,2,0,0,0,0,0,103
42003479000,0,1,7,10,5,2,0,0,0,0,0,25
42003480101,0,2,8,15,16,6,0,0,0,0,0,47
42003480102,3,2,5,14,9,3,1,0,0,0,0,37
42003480200,2,4,7,17,11,1,1,0,0,0,0,43
42003480300,1,3,10,15,6,1,0,1,1,0,0,38
42003480400,0,6,14,33,6,3,1,0,0,0,0,63
42003481000,13,18,6,1,0,0,0,0,0,0,0,38
42003482500,2,3,5,5,4,0,2,0,0,0,0,21
42003483800,17,6,1,0,0,0,0,0,0,0,0,24
42003484300,29,10,5,6,1,0,0,0,0,0,0,51
42003484500,1,12,27,28,1,2,0,0,0,0,0,71
42003484600,8,8,10,4,1,0,0,0,0,0,0,31
42003485000,7,9,4,0,1,0,0,0,0,0,0,21
42003486700,12,2,1,0,0,0,0,0,0,0,0,15
42003486800,17,3,0,0,0,0,0,0,0,0,0,20
42003486900,17,4,1,0,0,0,0,0,0,0,0,22
42003487000,3,15,7,1,0,0,0,0,0,0,0,26
42003488100,8,6,3,3,1,3,0,0,0,0,0,24
42003488200,10,10,9,4,1,0,0,0,0,0,0,34
42003488300,1,3,4,8,5,0,1,0,0,0,0,22
42003488400,7,15,17,3,3,0,0,0,0,0,0,45
42003488500,1,2,7,14,4,0,0,0,0,0,0,28
42003488600,1,6,19,13,2,4,2,0,0,0,0,47
42003489001,2,4,10,17,13,8,4,2,0,0,0,60
42003489002,0,1,8,17,18,10,3,0,1,0,0,58
42003490002,3,6,5,12,13,8,2,1,1,0,0,51
42003490003,2,1,6,5,11,9,3,3,0,1,1,42
42003490004,1,0,4,7,10,15,11,4,3,1,0,56
42003491101,0,1,6,7,7,4,6,8,13,6,6,64
42003491200,2,1,4,9,0,0,1,2,0,1,1,21
42003492700,30,5,1,0,0,1,0,0,0,0,0,37
42003492800,25,10,1,0,0,0,0,0,0,0,0,36
42003492900,18,10,2,0,0,0,0,0,0,0,0,30
42003494000,4,2,5,3,0,0,0,0,0,0,0,14
42003495000,3,3,4,7,2,1,0,0,0,0,0,20
42003496101,2,6,7,10,2,1,0,0,0,0,0,28
42003496102,3,8,8,10,5,2,2,1,1,1,1,42
42003496200,2,8,13,10,3,1,2,2,1,1,0,43
42003497000,3,2,1,2,0,1,0,0,0,0,0,9
42003498000,3,3,15,4,0,0,0,0,0,0,0,25
42003499300,5,6,7,0,0,0,0,0,0,0,0,18
42003499400,21,14,6,0,0,0,0,0,0,0,0,41
42003500300,16,20,17,3,0,0,0,0,0,0,0,56
42003501000,3,4,4,0,1,0,0,0,0,0,0,12
42003503002,8,11,21,20,7,4,1,0,0,0,0,72
42003504100,19,16,19,7,0,0,0,0,0,0,0,61
42003507000,17,11,9,1,0,0,0,0,0,0,0,38
42003508000,17,5,2,0,0,0,0,0,0,0,0,24
42003509400,25,17,8,1,0,0,0,0,0,0,0,51
42003510000,18,5,1,0,0,0,0,0,0,0,0,24
42003512000,20,7,2,1,0,0,0,0,0,0,0,30
42003512800,12,1,0,0,0,0,0,0,0,0,0,13
42003512900,9,1,0,0,0,0,0,0,0,0,0,10
42003513800,14,2,0,1,0,0,0,0,0,0,0,17
42003514000,7,0,0,0,0,0,0,0,0,0,0,7
42003515100,11,13,6,3,1,0,0,0,0,0,0,34
42003515200,3,3,7,6,2,0,0,0,0,0,0,21
42003515300,6,5,5,4,0,1,0,0,0,0,0,21
42003515401,2,4,10,2,7,1,4,2,1,1,2,36
42003516100,0,0,1,3,2,3,5,0,2,0,0,16
42003516200,0,1,0,1,5,3,2,1,0,0,0,13
42003517000,3,7,6,3,0,0,0,0,0,0,0,19
42003518001,3,6,11,10,10,7,3,2,2,0,0,54
42003519000,1,3,6,8,10,13,5,3,0,0,1,50
42003520001,2,7,14,6,3,4,2,3,0,0,0,41
42003520002,12,11,16,11,5,0,0,0,0,0,0,55
42003521100,2,6,8,16,7,5,1,1,0,3,0,49
42003521200,2,8,17,23,3,3,0,1,1,0,0,58
42003521301,1,0,7,8,7,5,1,1,0,0,0,30
